"id","iso","country","score","eh","ev","eh_hi","eh_aq","eh_ws","ev_wr","ev_ag","ev_fo","ev_fi","ev_bd","ev_ce","eh_hi_child_mortality","eh_aq_household_air_quality","eh_aq_exposure_pm25","eh_aq_exceedance_pm25","eh_ws_access_to_sanitation","eh_ws_access_to_drinking_water","ev_wr_wastewater_treatment","ev_ag_agricultural_subsidies","ev_ag_pesticide_regulation","ev_fo_change_in_forest_cover","ev_fi_fish_stocks","ev_fi_coastal_shelf_fishing_pressure","ev_bd_terrestrial_protected_areas_national_biome","ev_bd_terrestrial_protected_areas_global_biome","ev_bd_marine_protected_areas","ev_bd_critical_habitat_protection","ev_ce_trend_in_carbon_intensity","ev_ce_change_of_trend_in_carbon_intensity","ev_ce_trend_in_co2_emissions_per_kwh","access_to_electricity","year"
60,"JO","Jordan",55.78,76.96,41.66,79.31,82.51,69.06,42.3,84,0,0,8.52,65.68,79.31,100,85.3,62.23,75.94,62.17,42.3,0,84,0,0,0,8.52,7.5,0,0,69.19,65.47,65.75,99,2014
61,"SC","Seychelles",55.56,83.36,37.02,83.98,100,66.09,3.96,48,0,51.16,72.42,26.83,83.98,100,100,100,69.52,62.67,3.96,0,48,0,5.56,96.77,75.01,72.4,42.26,100,22.14,33.06,0,29,2014
62,"ME","Montenegro",55.52,78.31,40.33,98.68,76.19,60.08,5.1,86,100,0,51.6,47.4,98.68,72,88.21,68.35,46.34,73.81,5.1,100,72,100,0,0,77.82,77,0,0,45.27,51.33,41.59,100,2014
63,"AZ","Azerbaijan",55.47,59.37,52.87,60.57,86.87,30.66,13.15,62,63.12,0,58.66,80.88,60.57,93,93.52,74.1,34.08,27.24,13.15,100,24,63.12,0,0,58.66,68.89,0,0,90,78.28,83.55,100,2014
64,"CU","Cuba",55.07,80.64,38.02,93.18,97,51.75,9.19,84,100,32.72,56.06,16.93,93.18,91,100,100,50.99,52.52,9.19,0,84,100,16.17,49.27,37.17,54.24,82.84,50,0,14.87,23.47,100,2014
65,"MX","Mexico",55.03,69.98,45.06,76.67,87.09,46.2,37.45,55.21,19.87,25.34,62.32,51.35,76.67,86,98.65,76.62,37.49,54.9,37.45,30.41,80,19.87,17.4,33.28,62.93,66.46,82.89,37,60.05,27.12,73.66,99,2014
66,"TR","Turkey",54.91,73.85,42.28,66.06,84.07,71.43,48.93,56.67,52.35,21.9,32.62,46.52,66.06,97,87.95,67.27,48.42,94.44,48.93,17.34,96,52.35,20.78,23.02,13.7,14.34,77.46,25,55.37,40.62,43.4,100,2014
67,"AL","Albania",54.73,72.63,42.8,93.75,68.24,55.91,3.36,60,17.25,0,63.19,85.74,93.75,61,82.56,61.15,56.12,55.69,3.36,100,20,17.25,0,0,58.79,57.06,73.71,0,86.45,78.69,99.4,100,2014
68,"SY","Syria",54.5,67.09,46.11,78.81,71.08,51.38,82.17,92,3.3,0,23.44,59.1,78.81,100,71.14,42.09,60.45,42.31,82.17,100,84,3.3,0,0,3.76,3.28,63.28,0,35.2,69.32,39.05,93,2014
69,"LK","Sri Lanka",53.88,67.49,44.8,82.82,70.8,48.85,0,92,33.76,62.43,67.7,54.62,82.82,25,100,87.41,48.72,48.99,0,100,84,33.76,50,74.87,85.21,97.14,53.45,35,76.3,49.27,64.84,85,2014
70,"UY","Uruguay",53.61,89.97,29.37,80.39,100,89.51,6.67,68.06,100,20.19,24.62,24.51,80.39,100,100,100,83.18,95.84,6.67,52.12,84,100,19.6,20.79,2.67,2.68,68.49,0,18.47,60.86,10.73,99,2014
71,"SR","Suriname",53.57,67.15,44.52,64.28,96,41.16,0.01,90,63.12,17.55,75.04,52.76,64.28,88,100,100,35.23,47.08,0.01,100,80,63.12,1.64,33.45,57.55,83.9,83.67,0,82.78,40.15,0,100,2014
72,"ZA","South Africa",53.51,59.33,49.64,47.51,94.4,36.08,27.86,79.2,100,2.52,63.96,49.87,47.51,85,100,98.2,26.15,46.01,27.86,70.41,88,100,5.04,0,38.22,42.62,100,75,52.04,56.54,38.54,83,2014
73,"RU","Russia",53.45,74.22,39.6,83.12,94.36,45.17,21.5,16.93,35.07,12.73,53.39,61.02,83.12,100,100,83.09,23.4,66.93,21.5,21.87,12,35.07,17.32,8.14,61.08,64.28,88.21,0,90,26.94,47.77,100,2014
74,"MD","Moldova",53.36,66.88,44.34,76.03,73.63,50.99,34.15,74,100,0,7.51,63.16,76.03,89,79.01,52.88,39.43,62.56,34.15,100,48,100,0,0,7.51,7.14,0,0,81.55,49.64,90,99,2014
75,"DO","Dominican Republic",53.24,69.12,42.65,78.15,97.55,31.68,5.9,52.69,5.79,37.15,92.94,44.06,78.15,93,100,99.64,34.44,28.92,5.9,9.38,96,5.79,20.67,53.62,75.78,97.03,98.96,100,90,39.28,45.65,98,2014
76,"FJ","Fiji",53.08,70.72,41.33,72.54,87.67,51.94,3.9,94,58.94,38.36,37.98,65.71,72.54,63,100,100,41.08,62.81,3.9,100,88,58.94,9.09,67.62,16.45,18.27,77.21,40,21.24,67.16,0,56,2014
77,"BR","Brazil",52.97,72.22,40.13,68.59,97.64,50.44,10.87,74.51,10.81,24.68,66.74,53.82,68.59,94,100,98.92,32.68,68.19,10.87,61.01,88,10.81,20.09,29.28,82.4,73.54,81.04,30,52.02,26.19,79.65,99,2014
78,"TH","Thailand",52.83,71.17,40.61,88.23,67.67,57.62,16,62.13,25.34,19.05,70.19,46.05,88.23,74,76.49,52.52,54.7,60.55,16,32.26,92,25.34,21.88,16.23,76.12,51.63,82.82,0,42.41,42.91,52.4,100,2014
79,"TT","Trinidad and Tobago",52.28,71.66,39.36,63.01,99.88,52.08,5.25,96,17.88,24.58,83.48,32.54,63.01,100,100,99.64,51.06,53.09,5.25,0,96,17.88,0,49.16,96.18,92.05,45.68,100,26.96,11.34,51.79,99,2014
80,"PW","Palau",51.96,85.17,29.82,76.45,100,79.06,40,12,0,50,43.95,1.02,76.45,100,100,100,100,58.12,40,0,12,0,0,100,65.92,65.92,0,0,2.42,0,0,56,2014
81,"MA","Morocco",51.89,63.35,44.25,64.96,98.85,26.24,39.39,46.35,100,19.37,31.2,49.4,64.96,98,100,98.56,22.92,29.56,39.39,8.71,84,100,21.13,17.61,20.12,12.44,61.05,0,45.9,44.54,59.1,99,2014
82,"BH","Bahrain",51.83,83.22,30.9,81.63,74.63,93.4,64.27,12,0,0,4.99,39.57,81.63,95,76.74,52.16,86.81,100,64.27,0,12,0,0,0,7.48,7.48,0,0,32.21,26.74,56.9,94,2014
83,"IR","Iran",51.08,76.12,34.39,64.34,88.81,75.21,2.77,92,84.12,22.41,37.06,36.73,64.34,100,92.68,73.74,92.23,58.19,2.77,100,84,84.12,16.18,28.64,40.3,34.39,73.54,0,28.76,32.13,46.18,98,2014
