"id","iso","country","score","eh","ev","eh_hi","eh_aq","eh_ws","ev_wr","ev_ag","ev_fo","ev_fi","ev_bd","ev_ce","eh_hi_child_mortality","eh_aq_household_air_quality","eh_aq_exposure_pm25","eh_aq_exceedance_pm25","eh_ws_access_to_sanitation","eh_ws_access_to_drinking_water","ev_wr_wastewater_treatment","ev_ag_agricultural_subsidies","ev_ag_pesticide_regulation","ev_fo_change_in_forest_cover","ev_fi_fish_stocks","ev_fi_coastal_shelf_fishing_pressure","ev_bd_terrestrial_protected_areas_national_biome","ev_bd_terrestrial_protected_areas_global_biome","ev_bd_marine_protected_areas","ev_bd_critical_habitat_protection","ev_ce_trend_in_carbon_intensity","ev_ce_change_of_trend_in_carbon_intensity","ev_ce_trend_in_co2_emissions_per_kwh","access_to_electricity","year"
903,"MK","Macedonia",49.7,77.9,30.89,100,64.56,69.14,3.74,94,25.34,,24.13,54.41,100,66.4,77.65,49.64,48.22,90.05,3.74,100,88,25.34,,,24.13,38.59,,,90,53.19,53.4,98.6,2009
882,"IR","Iran",49.6,72.95,34.04,61.37,91.08,66.38,2.77,92,84.12,18.93,37.06,36.73,61.37,99.7,96.21,77.34,75.8,56.96,2.77,100,84,84.12,9.22,28.64,40.3,34.39,73.54,0,28.76,32.13,46.18,98,2009
822,"BZ","Belize",48.88,76.23,30.65,79.13,95.77,53.8,2.28,88,4.69,0,98.24,2.59,79.13,87.3,100,100,44.06,63.53,2.28,100,76,4.69,0,0,99.76,98.79,96.15,,83.28,0,,87.7,2009
811,"AR","Argentina",48.82,84.8,24.83,83.57,99.44,71.4,11.75,96,0,16.77,44.88,16.79,83.57,99.4,100,98.92,61.75,81.04,11.75,100,92,0,19.93,13.61,29.1,35.9,64.53,50,13.6,22.06,11.47,87.7,2009
983,"ZW","Zimbabwe",48.66,44.69,51.31,38.62,78,17.46,14.03,52,23.64,,99.52,,38.62,34,100,100,8.02,26.89,14.03,100,4,23.64,,,99.74,98.96,,100,,,,36.7,2009
810,"AG","Antigua and Barbuda",48.66,81.02,27.08,82.22,99.83,61.02,11.37,84,,0,60.92,8.41,82.22,99.5,100,100,49.41,72.62,11.37,,84,,0,0,38,60.64,45.05,100,13.11,0,,87.7,2009
972,"UA","Ukraine",48.39,76.47,29.66,82.16,82,65.26,14.7,53.86,32.52,27.29,41.46,27.78,82.16,96.3,86.04,63.67,57.23,73.3,14.7,39.71,68,32.52,12.09,42.48,20.17,22.39,81.82,,90,17.52,45.9,99.6,2009
877,"HN","Honduras",48.21,55.76,43.17,50.99,82.65,33.65,15.54,92,6.17,27.92,76.81,48.29,50.99,48.3,100,99.64,29.6,37.7,15.54,100,84,6.17,6.67,49.17,82.16,79.69,65.41,80,43.61,50.93,43.04,80.6,2009
872,"GT","Guatemala",47.38,58.77,39.79,56.33,80.21,39.76,5.37,94,0,33.16,57.55,64.18,56.33,42.8,100,97.84,30.38,49.14,5.37,100,88,0,22.54,43.78,80.11,53.82,76.26,20,60,56.98,78.52,81.7,2009
827,"BW","Botswana",46.94,60.38,37.98,52.54,87.23,41.37,0.95,20,,,100,16.57,52.54,61.7,100,100,18.32,64.42,0.95,,20,,,,100,100,,,61.98,11.37,6.12,42.7,2009
853,"DM","Dominica",46.78,71.77,30.12,72.31,99.03,43.98,2.99,56,,0,66.29,27.95,72.31,97.1,100,100,33.04,54.92,2.99,100,12,,0,0,80.06,85.12,0,100,44.51,25.36,,90.7,2009
926,"OM","Oman",46.76,78.92,25.32,86.44,94.74,55.57,13.4,24,,22.52,42.28,21.64,86.44,95,100,89.21,66.91,44.23,13.4,,24,,7.41,37.63,61.74,53.99,53.4,0,0,67.9,49.9,93.7,2009
824,"BT","Bhutan",46.45,41.03,50.06,38.93,50.44,33.71,0,50,63.12,,94.92,,38.93,58.2,57.86,35.25,9.43,57.99,0,100,0,63.12,,,94.92,96.13,,,,,,71.6,2009
865,"GA","Gabon",46.24,49.22,44.26,35.27,90.88,21.5,0,12,58.94,28.61,82.94,56.67,35.27,73,100,99.64,5.45,37.55,0,,12,58.94,26.02,31.2,86.49,84.84,77.49,,90,79.52,1.77,81.2,2009
816,"BS","Bahamas",46.24,73.27,28.22,69.51,98.33,51.95,11.37,12,21.31,37.66,75.53,0,69.51,95,100,100,42.49,61.42,11.37,,12,21.31,9.29,66.04,79.55,81.77,65.26,,0,0,,87.7,2009
826,"BA","Bosnia and Herzegovina",45.97,78.34,24.39,89.47,73.65,71.89,3.18,52,100,,2.5,31.71,89.47,54.5,93.07,73.38,62.72,81.06,3.18,100,4,100,,,2.5,2.5,,,34.14,17.86,57.95,99.9,2009
867,"GE","Georgia",45.84,69.65,29.97,78.15,71.03,59.78,0,56,84.12,0,29.59,45.43,78.15,53.7,89.25,70.14,55.72,63.83,0,100,12,84.12,0,0,44.53,44.24,0,,40.32,42.22,51.9,100,2009
978,"VU","Vanuatu",45.41,54.96,39.04,66.41,72.07,26.4,27.06,56,74.82,53.66,27.46,,66.41,16.2,100,100,14.21,38.6,27.06,100,12,74.82,12.7,94.63,24.34,24.34,33.72,,,,,23.5,2009
819,"BB","Barbados",45.23,86.9,17.45,87.58,100,73.12,11.37,84,,50,2.28,12.38,87.58,100,100,100,49.79,96.44,11.37,,84,,0,100,0.54,0.54,8.03,0,11,14.85,,87.7,2009
970,"TM","Turkmenistan",45.07,66.12,31.04,47.42,99.3,51.63,9.8,50,,,17.86,61.67,47.42,99.7,100,98.2,85.01,18.25,9.8,100,0,,,,17.86,21.94,,,79.84,69.25,44.76,100,2009
881,"ID","Indonesia",44.54,55,37.56,65.28,76.74,22.99,0.02,67.98,7.75,26.01,77.88,45.25,65.28,44.6,100,85.61,15.08,30.9,0.02,51.95,84,7.75,26.4,25.62,82.14,87.06,88.31,54,53.88,42.98,49.45,93.4,2009
932,"PE","Peru",44.41,54.63,37.61,52.34,83.64,27.89,20.98,92,32.52,31.77,68.62,16.71,52.34,62.8,100,88.13,23.12,32.67,20.98,100,84,32.52,27.51,36.03,79.83,68.06,70.61,56,41.91,23.2,0,83.7,2009
913,"MN","Mongolia",44.33,54.27,37.7,64.15,75.9,22.77,19.8,88,0,,73.25,25.06,64.15,27.7,100,100,12.98,32.56,19.8,100,76,0,,,69.27,59.41,,100,69.66,9.81,54.19,85.7,2009
933,"PH","Philippines",43.91,60.02,33.17,61.44,82.15,36.45,0.53,54.1,31.35,21.03,64.67,35.73,61.44,49.7,100,96.76,25.57,47.34,0.53,36.19,72,31.35,15.51,26.54,63.89,76.24,78.56,40,78.85,30.28,46.15,81.8,2009
977,"UZ","Uzbekistan",43.57,68.53,26.92,54.22,82.76,68.6,0,50,55.41,,12.87,51.9,54.22,88.1,90.41,69.78,100,37.2,0,100,0,55.41,,,12.87,23.24,,,90,51.49,52.61,100,2009
857,"SV","El Salvador",43.44,64.61,29.33,70.17,92.23,31.42,0.62,84,9.9,34.61,23.85,58.24,70.17,76.7,100,100,22.37,40.47,0.62,100,68,9.9,26.32,42.91,4.26,3.25,64.03,,50.76,44.52,85.44,91.6,2009
840,"CN","China",42.97,42.54,43.26,78.74,17.8,31.08,18.18,37.81,25.34,13.45,66.63,65.16,78.74,53.3,0.1,0,18.46,43.7,18.18,23.61,52,25.34,17.68,9.21,64.33,80.41,67.76,54,39.29,75,51.83,99.8,2009
918,"NA","Namibia",42.97,53.71,35.81,51.55,81.4,28.18,13,56,,24.44,94.39,0.54,51.55,44.2,100,100,5.13,51.23,13,100,12,,15.73,33.15,100,100,83.16,,9.29,0,0,43.3,2009
900,"LY","Libya",42.65,71.92,23.13,80.49,98.05,37.23,18.08,12,,38.23,0.89,46.61,80.49,99.9,100,94.24,66.57,7.88,18.08,,12,,16.97,59.49,0.63,2.03,0,,59.07,8.59,60.08,100,2009
837,"CF","Central African Republic",42.39,29.69,50.85,13.79,64.7,10.59,0,90,43.06,,97,,13.79,3.8,100,90.29,5.74,15.44,0,100,80,43.06,,,97,97.02,,,,,,8.7,2009
836,"CV","Cape Verde",41.67,63.47,27.14,74.02,89.1,27.3,19.4,56,,36.84,7.32,45.04,74.02,67.3,100,100,16.8,37.79,19.4,100,12,,7.61,66.07,14.64,14.64,0,0,40.29,45.15,,66.2,2009
982,"ZM","Zambia",41.33,35.2,45.41,23.63,71.48,10.48,4.2,42.83,13.28,,100,,23.63,16.6,100,97.84,8.61,12.36,4.2,13.66,72,13.28,,,100,100,,,,,,18.8,2009
930,"PG","Papua New Guinea",40.94,40.48,41.25,45.04,75.21,1.18,0,56,45.05,50.29,25.68,89.98,45.04,26,100,99.64,1.23,1.14,0,100,12,45.05,22.02,78.57,14.23,12.52,61.97,14,78.61,90,,14.6,2009
858,"GQ","Equatorial Guinea",40.93,38.13,42.79,14.95,74.27,25.18,1.25,0,37.94,51.53,91.32,,14.95,22.8,100,100,44.18,6.18,1.25,,0,37.94,20.79,82.26,100,100,65.29,100,,,,28.7,2009
895,"LA","Laos",40.83,35.63,44.29,53.19,39.26,14.45,0,80,13.28,,93.85,,53.19,4.1,67.98,45.68,14.52,14.38,0,100,60,13.28,,,93.85,96.92,,,,,,64,2009
941,"SN","Senegal",40.45,43.95,38.12,33.72,82.53,15.59,2.06,17.45,,20.48,85.36,,33.72,47.6,100,100,11.88,19.3,2.06,22.9,12,,19.4,21.56,99.49,79.36,77.21,,,,,55,2009
894,"KG","Kyrgyzstan",40.44,62.99,25.41,55.73,86.16,47.1,4.2,94,68.23,,15.77,,55.73,65.3,100,93.17,54.32,39.88,4.2,100,88,68.23,,,20.21,21.83,,0,,,,100,2009
831,"BF","Burkina Faso",39.99,30.84,46.08,11.43,69.13,11.96,0.02,88,,,83.75,,11.43,7.4,100,100,0.71,23.22,0.02,100,76,,,,83.75,83.75,,,,,,12.4,2009
845,"CI","Cote d'Ivoire",39.37,38.36,40.05,27.04,73.54,14.49,0.6,80,0,32.64,81.23,49.3,27.04,21.7,100,98.92,2.58,26.4,0.6,100,60,0,11.64,53.64,100,100,57.94,67,48.32,53.16,41.59,58.2,2009
905,"MW","Malawi",39.33,37.5,40.54,25.14,67.63,19.74,0,88,0,,87.81,,25.14,2.9,100,100,12.63,26.86,0,100,76,0,,,94.62,72.89,,100,,,,8.6,2009
931,"PY","Paraguay",39.14,58.76,26.07,63.13,83.63,29.5,0.16,92,0,,31.2,44.09,63.13,50.9,100,100,23.49,35.52,0.16,100,84,0,,,31.2,31.46,,,46.91,16.3,98.84,96.5,2009
843,"CG","Congo",38.97,36.06,40.91,25.02,72.95,10.21,0.18,92,47.23,0,66.29,59.88,25.02,22.1,100,96.76,1.08,19.35,0.18,,92,47.23,0,0,55,55.34,88.53,,55.48,90,0.01,35.4,2009
964,"TL","Timor-Leste",38.67,42.61,36.03,47.35,69.33,11.15,0.3,50,31.35,62.08,60.43,,47.35,8,100,100,7.33,14.98,0.3,100,0,31.35,25.23,98.92,50.89,50.89,79.51,,,,,37.6,2009
971,"UG","Uganda",38.65,35.92,40.46,28.46,66.89,12.41,0.56,58,4.34,,91.31,,28.46,3.9,100,96.76,5.93,18.89,0.56,100,16,4.34,,,88.24,88.6,,100,,,,14.4,2009
875,"GY","Guyana",37.63,67.89,17.47,62.79,97.4,43.47,0,92,63.12,17.3,18.66,0.64,62.79,92.2,100,100,35.24,51.7,0,100,84,63.12,4.19,30.41,29.98,26,0,,42.62,0,,77.7,2009
924,"NG","Nigeria",37.33,32.68,40.43,19.45,70.6,7.98,1.08,51.21,29.16,26.57,57.54,70.55,19.45,26.2,100,85.61,4.94,11.02,1.08,18.42,84,29.16,30,23.14,75.96,58.22,45.96,50,90,90,31.66,47.7,2009
861,"ET","Ethiopia",36.84,33.6,39,31.66,66.75,2.41,0,17.89,35.07,,83.78,,31.66,2.4,100,97.84,1.15,3.66,0,15.78,20,35.07,,,93.15,82.94,,71,,,,22,2009
980,"VN","Viet Nam",36.83,49.15,28.62,61.71,49.72,36.02,0.14,58.25,17.25,19.72,43.39,44.51,61.71,42,62.54,44.6,23.96,48.09,0.14,28.5,88,17.25,13.66,25.77,36.46,21.17,72.93,43,3.03,46.08,41.43,95.3,2009
956,"SZ","Swaziland",36.54,41.44,33.27,27.36,81.33,15.62,55.5,58,52.35,,17.69,14.04,27.36,44,100,100,14.75,16.5,55.5,100,16,52.35,,,17.69,17.41,,,68.53,13.59,,34.7,2009
919,"NP","Nepal",36.21,29.71,40.55,51.92,17.11,20.09,0,92,63.12,,61.79,,51.92,18.5,32.82,0,5.44,34.75,0,100,84,63.12,,,61.79,42.63,,,,,,75.7,2009
834,"CM","Cameroon",36.16,36.78,35.75,21.04,73.41,15.89,0,92,43.06,0,45.24,62.13,21.04,24.2,100,96.04,10.89,20.89,0,100,84,43.06,0,0,54.61,64.37,0,62,41.76,63.79,58.84,48.7,2009
891,"KE","Kenya",35.67,37.37,34.54,31.39,73.33,7.39,0.52,76.68,15.46,36.36,67.03,,31.39,20,100,100,4.19,10.59,0.52,69.37,84,15.46,3.85,68.87,76.11,67.69,74.33,50,,,,22.2,2009
962,"TZ","Tanzania",35.62,34.72,36.22,31.96,68.48,3.73,0.42,63.31,14.9,26.2,79.12,,31.96,5.8,100,99.64,0,7.46,0.42,38.63,88,14.9,0,52.41,99.86,99.72,81.91,35,,,,14.4,2009
874,"GW","Guinea-Bissau",35.4,29.83,39.11,13.56,67.37,8.57,0,56,13.81,26.86,89.87,,13.56,2.1,100,100,0.98,16.16,0,100,12,13.81,11.52,42.19,89.87,99.36,,,,,,56.7,2009
833,"KH","Cambodia",35.28,42.35,30.58,50.13,68.25,8.66,0,64,0,0,78.93,,50.13,10.5,100,94.24,4.59,12.73,0,100,28,0,0,0,100,100,36.78,,,,,29.6,2009
871,"GD","Grenada",35.02,75.35,8.12,74.5,99.63,51.93,11.37,50,,0,3.74,4.14,74.5,98.9,100,100,49.81,54.04,11.37,100,0,,0,0,11.18,3.77,0,0,22.86,0,,87.7,2009
939,"RW","Rwanda",34.98,37.65,33.21,31.96,64.58,16.4,0,60,45.05,,56.32,,31.96,2,100,91.73,16.22,16.58,0,100,20,45.05,,,56.32,59.76,,,,,,10.5,2009
927,"PK","Pakistan",34.2,38.07,31.62,63.96,22.81,27.45,3.52,74,43.06,12.96,41.43,44.33,63.96,35,33.44,0,10.4,44.49,3.52,100,48,43.06,1.07,24.85,58.4,51.11,56.2,0,38.83,43.56,45.87,89.9,2009
883,"IQ","Iraq",33.07,57.22,16.98,70.01,68.49,33.17,8.29,50,,,0,36.03,70.01,99.6,69.18,36.69,34.35,31.98,8.29,100,0,,,,0,0,,,14.6,37.84,37.02,97.6,2009
823,"BJ","Benin",32.19,33.91,31.04,23.73,67.41,10.6,0.01,74.05,,0,65.88,,23.73,8.7,100,93.53,0,21.19,0.01,80.1,68,,0,0,98.86,98.79,0,,,,,27.7,2009
869,"GH","Ghana",31.86,39.68,26.64,32.45,69.97,16.63,10.25,92,10.81,30.07,34.26,27.3,32.45,15.3,100,94.6,0,33.26,10.25,100,84,10.81,25.68,34.47,78.03,59.02,0,0,70.71,36.71,8.41,59.4,2009
948,"SB","Solomon Islands",31.29,45.89,21.56,52.66,70.07,14.95,0,56,35.07,54.67,17.58,,52.66,10.2,100,100,3.89,26,0,100,12,35.07,9.57,99.77,8.45,8.45,53.41,0,,,,18.7,2009
842,"KM","Comoros",31.17,46.84,20.72,32.66,76.07,31.78,3.96,58,68.23,48.26,0,,32.66,28.2,100,100,6.29,57.26,3.96,100,16,68.23,0,96.52,0,0,0,0,,,,47.7,2009
961,"TJ","Tajikistan",31.11,49.31,18.97,43.4,68.11,36.42,2.25,76,,,24.28,,43.4,63.5,82.19,58.63,58.79,14.06,2.25,100,52,,,,24.28,33.94,,,,,,99.9,2009
838,"TD","Chad",30.74,28.86,31.99,13.51,70.4,2.67,0,75.14,,,55.34,,13.51,11.2,100,100,0,5.34,0,78.28,72,,,,55.34,51.22,,,,,,3.8,2009
880,"IN","India",30.69,31.9,29.88,48.14,23.84,23.71,10.49,57.64,35.07,22.66,39.18,35.24,48.14,40.7,29.75,1.08,5.61,41.81,10.49,23.29,92,35.07,27.18,18.14,27.61,36.33,60.79,32,51.47,26.89,51.91,73.7,2009
916,"MZ","Mozambique",30.11,30.54,29.82,20.88,68.23,2.51,2.5,62,3.99,24.52,63.17,,20.88,4.7,100,100,1.07,3.95,2.5,40,84,3.99,5.03,44.02,90.84,95.44,66.38,0,,,,14.2,2009
981,"YE","Yemen",29.85,42.82,21.21,37.86,80.13,10.46,0.49,92,,31.66,23.59,,37.86,66.4,95.57,78.42,12.99,7.93,0.49,100,84,,26.9,36.41,3.29,3.29,64.21,,,,,44.6,2009
866,"GM","Gambia",29.11,40.56,21.48,21.04,69.5,31.14,0.4,92,,0,37.05,,21.04,8.5,100,100,21.43,40.86,0.4,100,84,,0,0,23.96,34.64,52.56,,,,,31.3,2009
809,"AO","Angola",28.18,34.45,24,13.83,78.9,10.61,0,56,26.24,21.54,41.7,,13.83,42.1,100,94.6,14.63,6.59,0,100,12,26.24,15.73,27.34,65.54,62.37,38.89,0,,,,34.6,2009
873,"GN","Guinea",27.86,31.75,25.27,16.83,67.63,10.78,0.75,94,17.25,20.88,41,,16.83,2.9,100,100,1.11,20.46,0.75,100,88,17.25,11.48,30.28,39.78,24.24,0,100,,,,19.6,2009
965,"TG","Togo",27.59,32.03,24.63,24.6,66.61,4.88,0,92,28.15,0,44.23,,24.6,5.6,100,94.24,0,9.76,0,100,84,28.15,0,0,66.28,66.41,0,,,,,26.9,2009
917,"MM","Myanmar",27.25,40.93,18.14,44.05,51.26,27.48,0,80,24.47,0,28.62,,44.05,7.7,83.13,62.95,26.7,28.26,0,100,60,24.47,0,0,36.02,25.86,52.61,0,,,,48.8,2009
852,"DJ","Djibouti",27.17,49.31,12.4,29.07,87.39,31.48,0,84,,0,15.45,,29.07,87,99.26,75.9,17.6,45.37,0,,84,,0,0,0.01,0.01,61.78,0,,,,49.6,2009
909,"MR","Mauritania",26.9,36.91,20.22,25.93,80.33,4.48,0,56,,21.86,32.63,,25.93,41,100,100,3.42,5.55,0,100,12,,12.87,30.86,3.16,2.54,92.2,,,,,17.7,2009
832,"BI","Burundi",26.32,32.9,21.93,16.89,65.54,16.27,0,88,22.83,,30.29,,16.89,3.8,100,92.81,11.61,20.94,0,100,76,22.83,,,30.29,30.5,,,,,,4.9,2009
923,"NE","Niger",26.25,26.65,25.98,9.8,67.45,2.71,0,78,,,41.56,,9.8,3.8,100,98.56,0,5.42,0,100,56,,,,41.56,36.55,,,,,,8.8,2009
904,"MG","Madagascar",26,36.13,19.24,39.06,67.33,2,0.53,92,7.75,0,35.69,,39.06,2,100,100,0,4,0.53,100,84,7.75,0,0,18.54,17.97,63.24,43,,,,13.7,2009
859,"ER","Eritrea",25.26,42.18,13.98,43.34,77.68,5.53,0,92,,0,17.94,,43.34,38.8,100,94.24,0,11.06,0,100,84,,0,0,28.28,25.55,0,,,,,32.9,2009
818,"BD","Bangladesh",25.17,29.41,22.35,51.45,15.06,21.73,0,92,22.83,0,39.51,,51.45,9.2,35.99,0,13.34,30.13,0,100,84,22.83,0,0,10.82,30.44,77.27,,,,,52.7,2009
850,"CD","Dem. Rep. Congo",24.96,23.89,25.67,9.83,57.77,4.08,0,58,26.24,,44.66,,9.83,6.5,93.07,73.74,4.32,3.84,0,100,16,26.24,,,59.59,59.49,,0,,,,14.2,2009
899,"LR","Liberia",23.56,36.89,14.68,33.37,67.33,9.97,0,96,20.58,31.17,4.13,,33.37,2,100,100,0.76,19.18,0,100,92,20.58,14.63,47.7,10.35,6.19,0,0,,,,3.7,2009
954,"SD","Sudan",22.65,35.8,13.88,28.88,73.08,5.43,0,56.77,,21.14,16.29,,28.88,19.6,100,99.64,2.34,8.51,0,29.53,84,,0,42.27,5.77,2.81,40.28,,,,,28.6,2009
806,"AF","Afghanistan",21.36,34.1,12.87,30.88,65.83,5.6,0,50,52.35,,2.52,,30.88,14.4,100,83.09,3.74,7.47,0,100,0,52.35,,,2.19,4.53,,0,,,,40.6,2009
898,"LS","Lesotho",20.32,42.06,5.82,32.45,79.67,14.07,0.3,56,,,1.3,,32.45,39,100,100,3.34,24.81,0.3,100,12,,,,1.3,1.3,,,,,,15.8,2009
944,"SL","Sierra Leone",18.75,27.41,12.98,10.56,67.43,4.24,0,56,18.52,26.09,9.91,,10.56,2.3,100,100,0,8.47,0,100,12,18.52,20.79,31.38,25.62,4.1,0,,,,,11.7,2009
876,"HT","Haiti",18.67,36.19,6.98,30.76,69.57,8.25,0,52,23.64,0,1.09,,30.76,8.7,100,100,3.2,13.3,0,100,4,23.64,0,0,1.59,2.76,0,0,,,,33.7,2009
907,"ML","Mali",18.05,27.47,11.77,8.09,67.4,6.93,0,58,,,14.3,,8.09,2.2,100,100,1.85,12.01,0,100,16,,,,14.3,19.92,,,,,,17,2009
949,"SO","Somalia",14.98,28.38,6.04,17.11,66.79,1.23,3.96,50,,0,1.75,,17.11,4.7,100,95.68,2.47,0,3.96,100,0,,0,0,3.43,3.56,0,0,,,,28.7,2009
1136,"CH","Switzerland",88.36,94.89,84.01,100,84.66,100,96.95,47.92,49.65,,97.91,78.14,100,95,89.93,69.06,100,100,96.95,3.84,92,49.65,,,97.91,99.06,,,67.91,38.47,98.63,100,2008
1080,"LU","Luxembourg",83.63,93.71,76.9,95.65,85.49,100,95,57.94,33.76,,100,56.75,95.65,95,94.19,67.27,100,100,95,23.89,92,33.76,,,100,100,,,65.21,54.4,39.86,100,2008
1123,"SG","Singapore",81.78,99.44,70.01,100,98.33,100,99.65,96,,0,46.33,86.85,100,95,100,100,100,100,99.65,,96,,0,0,28.47,28.47,82.04,,90,0,81.37,72.2,2008
991,"AU","Australia",81.68,99.04,70.11,98.8,98.33,100,92.33,63.26,100,19.29,80.05,47.67,98.8,95,100,100,100,100,92.33,50.52,76,100,23.93,14.65,67.28,67.89,99.03,86,44.55,31.12,53.98,100,2008
1027,"CZ","Czech Republic",81.64,91.41,75.13,100,76.3,97.92,75.68,62.96,45.05,,98.34,65.82,100,98.8,77.95,52.16,99.87,95.96,75.68,29.93,96,45.05,,,98.34,98.41,,,77.62,30.98,54.43,100,2008
1046,"DE","Germany",80.41,93.12,71.93,99.83,79.54,100,95.18,61.18,31.35,12.53,100,62.77,99.83,95,83.18,60.43,100,100,95.18,30.36,92,31.35,6.59,18.46,100,100,100,,65.24,27.82,58.26,100,2008
1130,"ES","Spain",79.44,97,67.74,94.66,97.01,99.32,92.83,60.5,45.05,24.01,56.56,81.84,94.66,95,100,96.04,99.73,98.92,92.83,29,92,45.05,23.22,24.8,50.34,46.11,73.21,,77.96,69.8,89.97,100,2008
992,"AT","Austria",78.47,92.92,68.84,99.63,79.12,100,79.05,60.64,19.87,,86.59,62.09,99.63,95,83.37,58.99,100,100,79.05,29.29,92,19.87,,,86.59,93.99,,,54.7,51.19,76.91,100,2008
1103,"NO","Norway",77.7,99.44,63.2,100,98.33,100,77.05,46.88,32.52,19.81,69.8,75.65,100,95,100,100,100,100,77.05,1.75,92,32.52,12.71,26.9,74.65,75.85,58.9,,65.82,15.48,95.33,100,2008
1135,"SE","Sweden",77.69,99.12,63.41,100,97.37,100,87.86,61.26,14.35,22.29,61.51,77.34,100,95,100,97.12,100,100,87.86,30.52,92,14.35,5.76,38.83,46.3,49.4,88.85,,77.67,29.51,76.93,100,2008
1125,"SI","Slovenia",76.77,92.58,66.22,100,81.77,95.97,53.99,58.99,45.05,,100,54.59,100,94.4,86.89,64.03,100,91.94,53.99,25.99,92,45.05,,,100,100,,,54.68,21.68,58.47,100,2008
1152,"GB","United Kingdom",76.73,97.39,62.96,98.77,93.42,100,97.93,61.77,43.06,0,70.1,54.24,98.77,95,100,85.25,100,100,97.93,27.55,96,43.06,0,0,100,100,80.39,0,57.37,24.81,48.64,100,2008
1029,"DK","Denmark",76.53,97.81,62.35,100,93.42,100,93.45,61.42,18.52,9.11,65.38,67.22,100,95,100,85.25,100,100,93.45,30.84,92,18.52,11.2,7.02,72.45,72.45,51.22,,68.22,45.65,65.31,100,2008
1099,"NZ","New Zealand",76.39,87.65,68.88,93.35,98.33,71.28,77.9,81.4,100,5.86,76.05,62.94,93.35,95,100,100,42.55,100,77.9,66.8,96,100,11.72,0,83.93,84.27,100,36,63.47,35.01,63.15,100,2008
1057,"IS","Iceland",76.31,98.73,61.36,97.86,98.33,100,51.94,48.43,,15.2,81.88,71.31,97.86,95,100,100,100,100,51.94,0.86,96,,6.59,23.81,85.75,91.51,68.38,,57.21,42.29,99.77,100,2008
1098,"NL","Netherlands",76.02,91.19,65.91,99.34,74.23,100,98.82,61.59,33.76,0,85.67,53.32,99.34,95,76.96,50.72,100,100,98.82,27.19,96,33.76,0,0,86.47,86.47,84.08,,51.32,23.74,57.54,100,2008
1041,"FI","Finland",75.81,99.32,60.14,100,97.97,100,84.25,63.5,11.77,37.39,61.7,62.24,100,95,100,98.92,100,100,84.25,31.01,96,11.77,11.76,63.01,49.99,50.26,84.86,,62.1,37.12,62.75,100,2008
1113,"PT","Portugal",74.78,96.26,60.46,98,97.61,93.17,70.33,59.71,7.75,28.68,64.31,80.68,98,95,100,97.84,100,86.34,70.33,27.41,92,7.75,15.74,41.61,50.2,48.72,58.33,100,78.41,50.93,90,100,2008
1124,"SK","Slovakia",74.29,87.79,65.29,91.47,74.77,97.13,57.64,60.44,21.31,,84.33,72.48,91.47,98.6,76.44,49.28,94.9,99.35,57.64,32.87,88,21.31,,,84.33,91.11,,,90,39.14,53.21,100,2008
1064,"IT","Italy",74.25,81.5,69.42,100,81,63.51,91.44,54.5,55.41,25.07,79.74,63.41,100,95,81.45,66.55,27.03,100,91.44,28.99,80,55.41,12.74,37.4,62.68,63.17,93.11,100,53.69,62.07,82.59,100,2008
1062,"IE","Ireland",74.2,96.12,59.59,99.66,98.33,90.36,87.47,56.65,100,14.49,18.74,75.01,99.66,95,100,100,84.06,96.65,87.47,25.31,88,100,3.05,25.94,10.36,10.36,35.49,,70.69,6.08,84.84,100,2008
1038,"EE","Estonia",73.12,85.52,64.86,92.39,93.59,70.59,75.27,63.89,9.02,27.66,100,56.71,92.39,87.6,100,93.17,60.6,80.59,75.27,31.77,96,9.02,0,55.32,100,100,100,,79.79,0,42.15,100,2008
1013,"CA","Canada",72.87,97.06,56.75,99.51,95.82,95.84,80.42,64.13,16.64,23.38,57.88,59.85,99.51,95,100,92.45,95.99,95.7,80.42,32.26,96,16.64,17.89,28.87,49.03,57.79,74.7,50,53.78,29.2,72.18,100,2008
1048,"GR","Greece",72.64,90.75,60.57,100,84.58,87.67,87.33,55.63,22.83,25.41,64.73,59.79,100,95,90.41,68.35,80.6,94.75,87.33,27.26,84,22.83,20.59,30.23,92.35,92.47,74.1,0,60.38,33.91,61.66,100,2008
1151,"AE","United Arab Emirates",72.5,87.46,62.52,94.11,85.91,82.36,67.06,92,,23.19,96.47,33.86,94.11,99.4,90.35,67.99,71.95,92.77,67.06,,92,,7.14,39.24,94.8,94.61,100,,16.44,0,69.12,93.4,2008
1066,"JP","Japan",71.16,92.04,57.24,97.57,78.56,100,71.26,46.65,55.41,22.87,73.53,43.54,97.57,95,82.05,58.63,100,100,71.26,1.31,92,55.41,20.37,25.37,87.8,90.78,72.56,43,43.59,34.45,43.51,100,2008
1042,"FR","France",70.24,95.21,53.6,99.64,85.98,100,83.8,61.51,37.94,0,53.3,49.83,99.64,95,91,71.94,100,100,83.8,31.03,92,37.94,0,0,78.09,84.72,50.38,0,55.72,43.07,38.23,100,2008
1056,"HU","Hungary",69.89,88.22,57.66,95.73,68.93,99.99,58.62,62.71,100,,29.57,66.87,95.73,96,70.87,39.93,99.99,100,58.62,33.43,92,100,,,29.57,29.57,,,75.68,44.03,73.08,100,2008
